Sammelbezeichnung,Typ,ab km,preisbildender Tarifpunkt,IBNR,gleichgestellter Tarifpunkt,IBNR
Aachen,CITY,101,Aachen Hbf,1,Aachen Hbf,1
Aachen,CITY,101,Aachen Hbf,1,Aachen-Rothe Erde,406
Aachen,CITY,101,Aachen Hbf,1,Aachen Schanz,405
Aachen,CITY,101,Aachen Hbf,1,Aachen West,404
Aachen,CITY,101,Aachen Hbf,1,Eilendorf,1712
Aachen,TARIF,31,Aachen Hbf,1,Aachen Hbf,1
Aachen,TARIF,31,Aachen Hbf,1,Aachen-Rothe Erde,406
Aachen,TARIF,31,Aachen Hbf,1,Aachen Schanz,405
Aachen,TARIF,31,Aachen Hbf,1,Aachen West,404
Aalen,CITY,101,Aalen Hbf,2,Aalen Hbf,2
Aalen,CITY,101,Aalen Hbf,2,Goldshöfe,380
Aalen,CITY,101,Aalen Hbf,2,Hofen(b Aalen),2930
Aalen,CITY,101,Aalen Hbf,2,Unterkochen,5997
Aalen,CITY,101,Aalen Hbf,2,Wasseralfingen,6217
Ahrweiler,TARIF,1,Ahrweiler,448,Ahrweiler,448
Ahrweiler,TARIF,1,Ahrweiler,448,Ahrweiler Markt,449
Alzenau,TARIF,51,Alzenau(Unterfr),531,Alzenau(Unterfr),531
Alzenau,TARIF,51,Alzenau(Unterfr),531,Alzenau Burg,535
Alzenau,TARIF,51,Alzenau(Unterfr),531,Alzenau Nord,529
Alzenau,TARIF,51,Alzenau(Unterfr),531,Kälberau,3139
Alzenau,TARIF,51,Alzenau(Unterfr),531,Michelbach(Unterfr),4015
Annaberg-Buchholz,TARIF,71,Annaberg-Buchh u Bf,11047,Annaberg-Buchholz M,11045
Annaberg-Buchholz,TARIF,71,Annaberg-Buchh u Bf,11047,Annaberg-Buchholz S,10005
Annaberg-Buchholz,TARIF,71,Annaberg-Buchh u Bf,11047,Annaberg-Buchh u Bf,11047
Annweiler,TARIF,51,Annweiler am Trifels,582,Annweiler am Trifels,582
Annweiler,TARIF,51,Annweiler am Trifels,582,Annweiler-Sarnstall,5257
Arnstadt,TARIF,31,Arnstadt Hbf,10007,Arnstadt Hbf,10007
Arnstadt,TARIF,31,Arnstadt Hbf,10007,Arnstadt Süd,11055
Aschaffenburg,CITY,101,Aschaffenburg Hbf,10,Aschaffenburg Hbf,10
Aschaffenburg,CITY,101,Aschaffenburg Hbf,10,Aschaffenburg Hochs.,618
Aschaffenburg,CITY,101,Aschaffenburg Hbf,10,Aschaffenburg Süd,619
Aschaffenburg,TARIF,51,Aschaffenburg Hbf,10,Aschaffenburg Hbf,10
Aschaffenburg,TARIF,51,Aschaffenburg Hbf,10,Aschaffenburg Hochs.,618
Aschaffenburg,TARIF,51,Aschaffenburg Hbf,10,Aschaffenburg Süd,619
Aschaffenburg,TARIF,51,Aschaffenburg Hbf,10,Obernau,4558
Augsburg,CITY,101,Augsburg Hbf,13,Augsburg Haunstett.,658
Augsburg,CITY,101,Augsburg Hbf,13,Augsburg Hbf,13
Augsburg,CITY,101,Augsburg Hbf,13,Augsburg-Hochzoll,661
Augsburg,CITY,101,Augsburg Hbf,13,Augsburg Messe,659
Augsburg,CITY,101,Augsburg Hbf,13,Augsburg Morellstr.,660
Augsburg,CITY,101,Augsburg Hbf,13,Augsburg-Oberhausen,662
Augsburg,CITY,101,Augsburg Hbf,13,Friedberg(Augsburg),2099
Augsburg,CITY,101,Augsburg Hbf,13,Gersthofen,2256
Augsburg,CITY,101,Augsburg Hbf,13,Inningen,3079
Augsburg,CITY,101,Augsburg Hbf,13,Neusäß,4318
Augsburg,CITY,101,Augsburg Hbf,13,Westheim(Schwab),6378
Augsburg,TARIF,71,Augsburg Hbf,13,Augsburg Haunstett.,658
Augsburg,TARIF,71,Augsburg Hbf,13,Augsburg Hbf,13
Augsburg,TARIF,71,Augsburg Hbf,13,Augsburg-Hochzoll,661
Augsburg,TARIF,71,Augsburg Hbf,13,Augsburg Messe,659
Augsburg,TARIF,71,Augsburg Hbf,13,Augsburg Morellstr.,660
Augsburg,TARIF,71,Augsburg Hbf,13,Augsburg-Oberhausen,662
Bad Brückenau,TARIF,71,Bad Brückenau Stbad,1210,Bad Brückenau,1211
Bad Brückenau,TARIF,71,Bad Brückenau Stbad,1210,Bad Brückenau Stbad,1210
Baden-Baden,CITY,101,Baden-Baden,774,Baden-Baden,774
Baden-Baden,CITY,101,Baden-Baden,774,Baden-Baden Haueneb,771
Baden-Baden,CITY,101,Baden-Baden,774,Baden-Baden Rebland,775
Baden-Baden,CITY,101,Baden-Baden,774,Sinzheim,5587
Baden-Baden,CITY,101,Baden-Baden,774,Sinzheim Nord,5588
Bad Homburg,CITY,101,Bad Homburg,712,Bad Homburg,712
Bad Mergentheim,TARIF,51,Bad Mergentheim,724,Bad Mergentheim,724
Bad Mergentheim,TARIF,51,Bad Mergentheim,724,Edelfingen,1660
Bad Mergentheim,TARIF,51,Bad Mergentheim,724,Igersheim,3045
Bad Mergentheim,TARIF,51,Bad Mergentheim,724,Markelsheim,3873
Bad Urach,TARIF,1,Bad Urach,6029,Bad Urach,6029
Bad Urach,TARIF,1,Bad Urach,6029,Bad Urach Eklinik,6027
Bad Urach,TARIF,1,Bad Urach,6029,Bad Urach Wasserfall,6028
Bad Wildbad,TARIF,1,Bad Wildbad Bf,6431,Bad Wildbad Bf,6431
Bad Wildbad,TARIF,1,Bad Wildbad Bf,6431,Bad Wildbad Kurpark,6435
Bad Wildbad,TARIF,1,Bad Wildbad Bf,6431,Bad Wildbad Nord,6434
Bad Wildbad,TARIF,1,Bad Wildbad Bf,6431,Bad Wildbad Uhlandpl,6439
