Grenzbahnhof/ Grenzpunkt,IBNR,nächster Haupt-/ Anstoßbahnhof,IBNR,Tarifkilometer,über Leitpunkt(e)
Apach(fr),591,Trier Hbf,134,49,
Bayerisch Eisenstein,830,Plattling,301,72,
Cheb(Gr),5353,Marktredwitz,247,16,
Emmerich(Gr),1774,Emmerich,1773,12,
Flensburg(Gr),2007,Flensburg,103,11,
Forst(Gr),10112,Forst(Lausitz),10111,2,
Frankfurt(Oder)(Gr),10114,Frankfurt(Oder),10113,4,
Gronau(Westf)Gr,132,Steinfurt-Burgstein.,62,27,
Gubin(Gr),10358,Cottbus Hbf,10073,39,
Hanweiler(Gr),2587,Saarbrücken Hbf,323,18,
Herzogenrath(Gr),2807,Aachen Hbf,1,15,
Konstanz,3400,Singen(Hohentwiel),73,31,
Kostrzyn(Gr),12626,Wriezen,10386,43,
Lauterbourg(fr),3597,Wörth(Rhein),254,12,
Lübeck-Travem.Hafen,3777,Lübeck Hbf,237,20,
Mittenwald(Gr),4044,Garmisch-Partenk.,2187,23,
Neuenburg(Baden)(Gr),6924,Freiburg(Brsg)Hbf,107,34,
Potucky(Gr),10407,Aue(Sachs),10010,30,
Rumburk (Gr),10408,Bischofswerda,10049,39,
Sassnitz(Gr),10313,Stralsund Hbf,10338,106,
Sebnitz(Gr),12958,Bad Schandau,10022,16,
Toender(Gr),1451,Husum,181,56,
Vejprty(Gr),11101,Flöha,10108,62,
Venlo(Gr),3155,Kaldenkirchen,190,2,
Waldshut,6167,Basel Bad Bf,26,55,
Waldshut,6167,Schaffhausen,24,39,
Weener(Gr),153,Leer(Ostfriesl),225,26,
Wissembourg(fr),6504,Wörth(Rhein),254,33,
Zgorzelec(Gr),10132,Görlitz,10131,1,
Zittau(Gr),10394,Zittau,10393,2,
