Von,IBNR,Nach,IBNR,Tarifkilometer,Wegetext
Aachen Hbf,1,Aachen Süd(Gr),403,7,AC*ACSG
Aachen Hbf,1,Aalen Hbf,2,544,AC*K*(DA/KA)*S*AA
Aachen Hbf,1,Altenbeken,4,291,AC*ALT
Aachen Hbf,1,Altenburg,10003,687,AC*(H/EF)*L
Aachen Hbf,1,Alzey,7,300,AC*K*MZ
Aachen Hbf,1,Ansbach,9,524,AC*K*F*WUE*AN
Aachen Hbf,1,Arnsdorf(Dresden),10006,784,AC*(SDL/EF)*RIE
Aachen Hbf,1,Aschaffenburg Hbf,10,344,AC*K*(KO/LM*F)*AB
Aachen Hbf,1,Ascheberg(Holst),11,638,AC*(HB/H)*HL
Aachen Hbf,1,Aschersleben,10009,574,AC*(H/NDH)*GUS
Aachen Hbf,1,Au(Sieg),12,137,AC*DN*HORR*K
Aachen Hbf,1,Aue(Sachs),10010,758,AC*H*(SDL/NDH)*L*WDA
Aachen Hbf,1,Augsburg Hbf,13,646,AC*(N/S)*A
Aachen Hbf,1,Aulendorf,14,624,AC*K*S*AUL
Aachen Hbf,1,Babenhausen(Hess),15,322,AC*K*MZ*DA
Aachen Hbf,1,Backnang,16,498,AC*(F/KA)*S
Aachen Hbf,1,Bad Bentheim(Gr),151,278,AC*RHEI
Aachen Hbf,1,Baden-Baden,774,422,AC*K*KA*BAD
Aachen Hbf,1,Bad Friedrichsh Hbf,17,421,AC*K*(MZ/F)*HD
Aachen Hbf,1,Bad Harzburg,19,482,AC*(OS/K)*BS
Aachen Hbf,1,Bad Hersfeld,20,450,AC*(ALT/MZ)*BEB
Aachen Hbf,1,Bad Kleinen,10018,647,AC*(HB/H)*HL
Aachen Hbf,1,Bad Kreuznach,21,244,AC*K*KO*KH
Aachen Hbf,1,Bad Langensalza,10020,532,AC*DO*KS*GTH
Aachen Hbf,1,Bad Nenndorf,22,349,AC*(OS/K)*MI
Aachen Hbf,1,Bad Oldesloe,23,561,AC*(HB/H)*HH
Aachen Hbf,1,Bad Schandau,10022,802,AC*(H/EF)*BSU
Aachen Hbf,1,Bamberg,25,535,AC*K*F*BA
Aachen Hbf,1,Basel Bad Bf,26,587,AC*K*KA*BAS
Aachen Hbf,1,Baunatal-Guntershaus,140,365,AC*K*MR
