Leitpunktkürzel,Tarifpunkt,IBNR,Verbund
A,Augsburg Hbf,13,AVV
AA,Aalen Hbf,2,OAM
AB,Aschaffenburg Hbf,10,VAB
ABG,Altenburg,10003,MDV
AC,Aachen Hbf,1,AVV
ACH,Achern,412,TGO
ACSG,Aachen Süd(Gr),403,AVV
ADE,Adelebsen,418,VSN
AIC,Aichach,452,AVV
ALL,Allersberg(Rothsee),498,VGN
ALT,Altenbeken,4,HST
AN,Ansbach,9,VGN
AND,Andernach,331,VRM
ANG,Angermünde,10004,VBB
APO,Apolda,11051,VMT
ARD,Arnsdorf(Dresden),10006,VVO
ARN,Arnstadt Hbf,10007,VMT
ASCH,Ascheberg(Holst),11,SHT
ASL,Aschersleben,10009,MAR
AU,Aue(Sachs),10010,VMS
AUL,Aulendorf,14,BOD
AUS,Au(Sieg),12,VRS
AZ,Alzey,7,VRN
B,Berlin Friedrichstr,10038,VBB
BA,Bamberg,25,VGN
BAAL,Baalberge,10013,MAR
BAB,Babenhausen(Hess),15,RMV
BACK,Backnang,16,VVS
BAD,Baden-Baden,774,KVV
BALI,Bad Liebenwerda,11078,VBB
BAS,Basel Bad Bf,26,RVL
BB,Böblingen,1055,VVS
BBG,Bernburg Hbf,10043,MAR
BCH,Berlin-Charlottenbg.,10403,VBB
BEB,Bebra,29,NVV
BED,Bedburg(Erft),30,VRS
BEGR,Bad Bentheim(Gr),151,
BELZ,Bad Belzig,10031,VBB
BENS,Bensheim,31,VRN
BENT,Bad Bentheim,879,
BER,Bernau(b Berlin),13470,VBB
BETZ,Betzdorf(Sieg),34,VRM
BF,Steinfurt-Burgstein.,62,VGM
BGS,Berlin Gesundbrunnen,11102,VBB
BHBF,Berlin Hbf,11160,VBB
BHS,Berlin-Hohenschönh.,11901,VBB
BHV,Bremerhaven Hbf,51,VBN
BI,Bielefeld Hbf,36,OWL
BIET,Bietigheim-Bissingen,38,VVS
BILL,Billerbeck,970,VGM
BIN,Bingen(Rhein) Hbf,39,RNN
BIW,Bischofswerda,10049,VON
BIZ,Biederitz,10047,MAR
BKH,Berlin-Karlshorst,10035,VBB
BKL,Bad Kleinen,10018,
BLAM,Blankenberg(Meckl),10051,
BLF,Blankenf(Teltow-Fl),10053,VBB
BLG,Bad Blankenburg(Th),10014,VMT
BLH,Blankenheim(Sangerh),10054,
BLI,Berlin-Lichtenberg,10036,VBB
BN,Bonn Hbf,44,VRS
BNBE,Bonn-Beuel,1083,VRS
BNG,Burg-u.Ndr Gemünden,61,RMV
BNGO,Bonn-Bad Godesberg,1082,VRS
BO,Bochum Hbf,41,VRR
BOB,Berlin Ostbahnhof,10255,VBB
BOH,Bocholt,40,VGM
BOK,Berlin Ostkreuz,11162,VBB
BOP,Boppard Hbf,45,VRM
BOR,Borken(Westf),346,VGM
BORS,Borsdorf(Sachs),10059,MDV
BOT,Bottrop Hbf,47,VRR
BR,Bruchsal,55,KVV
BRAC,Bielefeld-Brackwede,48,OWL
BRB,Brandenburg Hbf,10060,VBB
BRE,Bretleben,10061,
BRI,Brilon Wald,54,VRL
BRIT,Britz,10064,VBB
BROI,Lengede-Broistedt,1188,VRB
BRT,Bretten,53,KVV
BRV,Bremervörde,1171,HVV
BS,Braunschweig Hbf,49,VRB
BSFL,Schönefeld (b.Bln.),10109,VBB
BSK,Berlin Südkreuz,11113,VBB
BSP,Berlin-Spandau,10404,VBB
BSU,Bad Schandau,10022,VVO
BT,Bayreuth Hbf,28,VGN
BTF,Bitterfeld,10050,MDV
BUCH,Buchholz(Nordheide),56,HVV
BUE,Büchen,58,HVV
BUEN,Bünde(Westf),59,OWL
BUEZ,Bützow,10066,VVW
BULL,Bullay(DB),1267,VRM
BULO,Buchloe,57,
BUT,Buttstädt,11304,VMT
BWA,Berlin-Wannsee,10405,VBB
BWK,Berlin Westkreuz,11108,VBB
BZ,Bautzen,10026,VON
BZG,Berlin Zoolg. Garten,10406,VBB
C,Chemnitz Hbf,10184,VMS
CA,Calau(Nl),10069,VBB
CALO,Calbe(Saale) Ost,10070,MAR
CALW,Calbe(Saale) West,10071,MAR
CAMB,Camburg(Saale),13474,VMT
CB,Cottbus Hbf,10073,VBB
CE,Celle,64,
CO,Coburg,1338,VGN
COC,Cochem(Mosel),1340,VRM
COE,Coesfeld(Westf),66,VGM
COEL,Cölbe,65,RMV
CON,Coburg Nord,1334,VGN
COS,Coswig(Anh),11322,MDV
COSD,Coswig(b Dresden),10072,VVO
CR,Crailsheim,67,VSH
CW,Calw,63,VGC
D,Düsseldorf Hbf,85,VRR
DA,Darmstadt Hbf,68,RMV
DD,Dresden Hbf,10085,VVO
DDN,Dresden-Neustadt,10089,VVO
DE,Dessau Hbf,10077,MDV
DEL,Delmenhorst,70,VBN
DERN,Derneburg(Han),71,
DFL,Düsseldorf Flugh.,82,VRR
DH,Diepholz,1443,VBN
DIL,Dillenburg,74,RMV
DILL,Dillingen(Saar),75,SVV
DL,Döbeln Hbf,10080,MDV
DN,Düren,84,AVV
DO,Dortmund Hbf,80,VRR
DOD,Dortmund-Dorstfeld,81,VRR
DOKI,Doberlug-Kirchhain,10079,VBB
DON,Donauwörth,78,AVV
DOWH,Dortmund Signal Idu.,1522,VRR
DOWW,Dortmund-Wickede W,3936,VRR
DS,Donaueschingen,77,VSB
DU,Duisburg Hbf,86,VRR
DUED,Dürrröhrsdorf,10091,VVO
DUEL,Dülmen,83,VGM
DZ,Delitzsch,10076,MDV
E,Essen Hbf,98,VRR
EALT,Essen-Altenessen,1900,VRR
EB,Eilenburg,10095,MDV
EBB,Eberbach,369,VRN
EF,Erfurt Hbf,10101,VMT
EGID,St Egidien,10331,VMS
EICH,Eichenberg,90,NVV
EIL,Lutherstadt Eisleben,12279,
EILS,Eilsleben(Magdeb),10096,MAR
ELMS,Elmshorn,92,HVV
ELW,Elsterwerda,10099,VBB
ELXL,Elxleben,11489,VMT
ELZE,Elze(Han),93,
EMD,Emden Hbf,1768,
EMM,Emmerich,1773,VRR
EMMG,Emmerich(Gr),1774,VRR
ENG,Engers,94,VRM
ER,Erlangen,1844,VGN
ERK,Erkelenz,1839,AVV
ESA,Eisenach,10097,VMT
ESW,Eschwege-Niederhone,1895,NVV
ESWE,Eschwege,1884,NVV
EU,Euskirchen,100,VRS
EUTG,Eutingen im Gäu,101,VGF
EW,Eberswalde Hbf,10093,VBB
F,Frankfurt(Main)Hbf,105,RMV
FB,Friedberg(Hess),111,RMV
