Region,ASTe,NASTe
1,Husum,"Bad St. Peter Süd, Bad St Peter-Ording, Garding, Harblek, Katharinenheerd, Kating, Sandwehle, Tating, Tönning, Witzwort"
2,"Aalen Hbf, Crailsheim, Donauwörth","Aufhausen(Württ), Bopfingen, Bühlingen, Dinkelsbühl, Ebermergen, Ellwangen, Feuchtwangen, Fremdingen, Goldshöfe, Großelfingen, Harburg(Schwab),
Hofen(b Aalen), Hoppingen, Jagstzell, Lauchheim, Marktoffingen, Möttingen, Nördlingen, Pflaumloch, Rühlingstetten, Schopfloch(Mittelfr), Schrezheim,
Schwabsberg, Stimpfach, Trochtelfingen(Bopf), Wallerstein, Wasseralfingen, Westhausen, Wilburgstetten, Wörnitzstein"
3,"Calw, Renningen","Althengstett, Calw-Heumaden, Malmsheim, Ostelsheim, Schafhausen(Württ), Weil der Stadt"
5,"Mellrichstadt Bf, Suhl, Themar, Wernshausen","Bibra, Dietzhausen, Grimmenthal, Meiningen, Rentwertshausen, Ritschenhausen, Rohr(Thür), Schwallungen, Suhl-Heinrichs, Untermaßfeld, Vachdorf,
Walldorf(Werra), Wasungen, Wölfershausen"
6,"Ansbach, Fürth(Bay)Hbf, Nürnberg Hbf,
Treuchtlingen","Büchenbach, Cronheim, Eckersmühlen, Ellingen(Bay), Georgensgmünd, Gunzenhausen, Hilpoltstein, Katzwang, Langlau, Lohgarten-Roth, Markt Berolzheim,
Mühlstetten, Muhr a See, Nürnberg-Eibach, Nürnberg-Reichelsd., Nürnberg Rothenb., Nürnberg-Sandreuth, Nürnberg-Steinbühl, Pleinfeld, Ramsberg,
Rednitzhembach, Reichelsdorfer Kell., Roth, Schwabach, Schwabach-Limbach, Triesdorf, Unterheckenhofen, Unterschwaningen, Wassertrüdingen,
Weißenburg(Bay), Wettelsheim, Windsfeld-Dittenheim"
7,Traunstein,"Hufschlag, Otting, Unteraschau, Waging, Weibhausen"
8,"Rostock Hbf, Stralsund Hbf","Altenwillershagen, Barth, Bentwisch, Buchenhorst, Gelbensande, Graal-Müritz, Graal-Müritz Ko.weg, Kenz, Martensdorf, Mönchhagen, Ribnitz-Damgarten O,
Ribnitz-Damgarten W, Rostock-Kassebohm, Rostock-Torfbrücke, Rövershagen, Rövershagen Karls, Saatel, Stralsund-Grünhufe, Velgast"
9,"Bremen Hbf, Nienburg(Weser),
Rotenburg(Wümme), Soltau(Han)","Achim, Baden(Verden), Bremen-Mahndorf, Bremen-Sebaldsbrück, Dörverden, Etelsen, Eystrup, Langwedel, Verden(Aller), Visselhövede"
10,"Ansbach, Nürnberg Hbf","Anwanden, Heilsbronn, Neuendettelsau, Nürnberg-Schweinau, Nürnberg-Stein, Oberasbach, Petersaurach, Petersaurach Nord, Raitersaich, Roßtal, Roßtal
Wegbrücke, Sachsen(b Ansbach), Unterasbach, Wicklesgreuth, Windsbach"
11,"Alzey, Grünstadt, Worms Hbf","Albsheim(Eis), Alzey Süd, Bockenheim-Kindenh., Eppelsheim(Rheinh), Gundersheim(Rheinh), Hohensülzen, Monsheim, Nieder Flörsheim-D., Worms-
Pfeddersheim"
12,Ingolstadt Hbf,"Altmannstein, Dolling, Kösching, Mendorf, Offendorf, Riedenburg, Sandersdorf(Oberpf), Schambach"
13,Grünstadt,"Asselheim, Ebertsheim, Eisenberg(Pfalz), Eiswoog, Grünstadt Nord, Mertesheim, Ramsen"
14,"Bad Oldesloe, Büchen, Hamburg Hbf","Ahrensburg, Ahrensburg-Gartenh., Aumühle, Bargteheide, Hamburg Airport, Hamburg-Allermöhe, Hamburg Alte Wöhr, Hamburg-Barmbek, Hamburg-
Bergedorf, Hamburg Berliner Tor, Hamburg Billw.Moorfl, Hamburg Friedrichsb., Hamburg Hasselbrook, Hamburg Hoheneichen, Hamburg Kornweg/Kl.B,
Hamburg Landwehr, Hamburg Mittl.Lanw., Hamburg-Nettelnburg, Hamburg-Ohlsdorf, Hamburg-Poppenb., Hamburg-Rahlstedt, Hamburg-Rothenb.Ort,
Hamburg Rübenkamp, Hamburg-Tiefstack, Hamburg-Tonndorf, Hamburg Wandsb.Chaus, Hamburg-Wandsbek, Hamburg-Wellingsb., Kupfermühle, Müssen,
Reinbek, Schwarzenbek, Wohltorf"
15,Kaiserslautern Hbf,"Heinzenhausen, Hirschhorn(Pfalz), Kaiserslautern Pfaff, Kaiserslautern West, Katzweiler, Kreimbach-Kaulbach, Lampertsmühle-Ott., Lauterecken-Grumbach,
Lohnweiler, Olsbrücken, Reckweilerhof, Roßbach(Pfalz), Sulzbachtal, Wolfstein"
16,Fulda,"Altenfeld(Rhön), Eichenzell, Gersfeld(Rhön), Hettenhausen, Lütter, Ried, Rönshausen, Schmalnau, Welkers"
17,"Gemünden(Main), Würzburg Hbf","Gambach(Main), Himmelstadt, Karlstadt(Main), Retzbach-Zellingen, Thüngersheim, Veitshöchheim, Wernfeld, Würzburg-Zell"
18,"Ascheberg(Holst), Kiel Hbf","Kiel-Ellerbek, Kiel-Elmschenhagen, Kiel-Oppendorf, Kiel Schulen Langsee, Preetz, Raisdorf"
19,"Bamberg, Schweinfurt Hbf","Ebelsbach-Eltmann, Gädheim, Haßfurt, Haßfurt Gymnasium, Hofheim(Unterfr), Junkersdorf(b Hofh), Königsberg(Bay), Oberhaid, Obertheres, Rügheim,
Schonungen, Schweinfurt Mitte, Schweinfurt Stadt, Staffelbach, Stettfeld(Unterfr), Untertheres, Zeil"
20,"Augsburg Hbf, Buchloe, Kaufering","Augsburg Messe, Augsburg Morellstr., Bobingen, Graben(Lechf)Gewerbe, Inningen, Klosterlechfeld, Lagerlechfeld, Lamerdingen, Oberottmarshausen,
Schwabmünchen, Westerringen"
21,"Donaueschingen, Freiburg(Brsg)Hbf","Aha, Altglashütten-Falk., Bachheim, Bonndorf(Schwarzw), Bräunlingen Bahnhof, Bräunlingen Industr, Döggingen, Donauesch.Allmendsh.,
Feldberg(Schwarzw), Feldberg-Bärental, Freiburg-Littenweil., Freiburg-Wiehre, Gündelwangen, Häusern, Himmelreich, Hinterzarten, Höchenschwand,
Hüfingen Mitte, Kappel Gutachbrücke, Kirchzarten, Lenzkirch, Löffingen, Neustadt(Schwarzw), Rötenbach(Baden), Schluchsee, Seebrugg, St Blasien, Titisee,
Unadingen"
22,Heide(Holst),"Büsum, Jarrenwisch, Reinsbüttel, Süderdeich, Tiebensee, Wesselburen"
23,"Düren, Euskirchen","Nemmenich, Nörv.-Rommelsheim, Nörvenich-Binsfeld, Vet.-Jakobwüllesh., Vettweiß, Zülpich"
24,"Heide(Holst), Husum","Friedrichstadt, Lunden"
25,"Bad Nenndorf, Minden(Westf), Wunstorf","Bückeburg, Haste, Kirchhorsten, Lindhorst(Schaumb-L), Stadthagen"
26,"Basel Bad Bf, Freiburg(Brsg)Hbf","Atzenbach, Auggen, Bad Bellingen, Bad Krozingen, Bad Krozingen Ost, Buggingen, Dietzelbach, Ebringen, Efringen-Kirchen, Eimeldingen, Etzenbach, Fahrnau,
Freiburg-St Georgen, Haltingen, Hausen-Raitbach, Heitersheim, Hof(Münstertal), Istein, Kleinkems, Lörrach-Bromb./Hau, Lörrach Dammstraße, Lörrach-
Haagen/Mess, Lörrach Hbf, Lörrach Museum/Burg, Lörrach Schw.waldst, Lörrach-Stetten, Maulburg, Müllheim(Baden), Münstertal(Schw),
Neuenburg(Baden), Neuenburg(Baden)(Gr), Norsingen, Oberkrozingen, Rheinweiler, Riehen, Riehen Niederholz, Schallstadt, Schliengen,
Schönau(Schwarzw), Schopfheim, Schopfheim-Schlatth., Schopfheim West, Staufen, Staufen Süd, Steinen, Todtnau, Weil am Rhein, Weil am Rhein-Garten,
Weil am Rhein Ost, Weil am Rhein-Pfädl, Zell(Wiesental)"
29,"Freiburg(Brsg)Hbf, Offenburg","Achkarren, Bahlingen a. K., Bahlingen Riedlen, Batzenhäusle, Bleibach, Bötzingen, Bötzingen Mühle, Breisach, Buchholz(Baden), Burkheim-Bischoffing,
Denzlingen, Eichstetten a. K., Elzach, Emmendingen, Endingen a. K., Freiburg-Herdern, Freiburg Klinikum, Freiburg-Landwasser, Freiburg Messe/Uni,
Freiburg-Zähringen, Friesenheim(Baden), Gottenheim, Gundelfingen(Breisg), Gutach(Breisgau), Herbolzheim(Breisg), Hugstetten, Ihringen, Jechtingen,
Kenzingen, Kollmarsreute, Kollnau, Köndringen, Königschaffhausen, Lahr(Schwarzw), Niederwinden, Nimburg(Baden), Oberrotweil, Oberwinden,
Orschweier, Riegel a K Ort, Riegel-Malterdingen, Ringsheim/Europa-P., Sasbach a. K., Teningen-Mundingen, Waldkirch, Wasenweiler"
30,"Grevenbroich, Rheydt Hbf","Hochneukirch, Jüchen, Rheydt-Odenkirchen"
31,Finnentrop,"Attendorn, Attendorn-Hohen Hag., Eichhagen, Heggen, Kraghammer, Listerscheid, Olpe, Sondern"
32,Remagen,"Ahrbrück, Ahrweiler, Ahrweiler Markt, Altenahr, Bad Bodendorf, Bad Neuenahr, Dernau, Heimersheim, Kreuzberg(Ahr), Mayschoß, Rech, Walporzheim"
33,"Aue(Sachs), Chemnitz Hbf, St Egidien","Adorf(Erzgeb), Aue(Sachs) Erzgeb.St, Burkhardtsdorf, Burkhardtsdorf Mitte, Chemnitz-Altchemnitz, Chemnitz Erdmannsd.S, Chemnitz Erfenschlag, Chemnitz
Friedrichs., Chemnitz G-Freytag-S, Chemnitz-Harthau, Chemnitz-Reichenhain, Chemnitz Riemensch.S, Chemnitz Roesslerstr, Chemnitz Schule Altc, Chemnitz
Stadlerpl, Chemnitz TU Campus, Chemnitz Zentralhst, Dittersdorf, Dorfchemnitz, Einsiedel, Einsiedel Brauerei, Einsiedel Hp Gymnas., Hohndorf Mitte,
Jahnsdorf(Erzgeb), Kemtau, Klaffenbach Hp, Lichtenst.Hartenst.S, Lichtenst.Schnell.-S, Lichtenstein(Sachs), Lichtenstein Gewerbe, Lößnitz ob Bf, Lößnitz
unt Bf, Meinersdorf(Erzgeb), Mitteloelsnitz, Neukirchen-Klaffenb, Neuoelsnitz, Niederdorf(Erzgeb), Niederwürschnitz, Niederzwönitz, Oelsnitz(Erzgeb),
Oelsnitz Bahnhofstr, Pfaffenhain, Rödlitz-Hohndorf, Stollberg(Sachs), Stollberg Schlachth, Thalheim(Erzgeb), Thalheim(Erzgeb)Mit., Zwönitz"
34,"Bremerhaven Hbf, Stade","Altenbruch, Altenwalde, Bremerhaven-Lehe, Cadenberge, Cappel-Midlum, Cuxhaven, Dorum(Weserm), Hammah, Hechthausen, Hemmoor, Himmelpforten,
Mulsum, Neuhaus(Oste), Nordholz, Otterndorf, Spieka, Wingst, Wremen"
35,Aue(Sachs),"Antonsthal, Breitenbrunn(Erzg), Erla, Erlabrunn(Erzgeb), Johanngeorgenstadt, Lauter(Sachs), Potucky(Gr), Schwarzenberg(Erzg), Schwarzenberg Hp,
Schwarzenberg-Neuw"
36,Wörth(Rhein),"Berg(Pfalz), Hagenbach, Lauterbourg(fr), Maximiliansau-Im Rü, Neuburg(Rhein)"
37,"Bremen Hbf, Rotenburg(Wümme)","Bremen-Oberneuland, Ottersberg(Han), Sagehorn, Sottrum"
38,"Altenbeken, Hameln","Bad Pyrmont, Emmerthal, Lügde, Schieder, Steinheim(Westf)"
39,"Buchholz(Nordheide), Rotenburg(Wümme)","Lauenbrück, Scheeßel, Sprötze, Tostedt"
40,"Buchholz(Nordheide), Hamburg-Harburg","Hittfeld, Klecken"
41,"Buchholz(Nordheide), Soltau(Han)","Büsenbachtal, Handeloh, Holm-Seppensen, Schneverdingen, Soltau Nord, Suerhop, Wintermoor, Wolterdingen(Han)"
42,"Delmenhorst, Hesepe","Brettorf, Ganderkesee, Goldenstedt(Oldb), Holdorf(Oldb), Lohne(Oldb), Lutten, Mühlen(Oldb), Neuenkirchen(Oldb), Rechterfeld, Rieste, Steinfeld(Oldb),
Vechta, Wildeshausen"
43,"Hamburg-Harburg, Lüneburg","Ashausen, Bardowick, Maschen, Meckelfeld, Radbruch, Stelle, Winsen(Luhe)"
44,"Büchen, Lüneburg","Echem, Lauenburg(Elbe)"
45,"Wernshausen, Zella-Mehlis","Altersbach, Auehütte, Benshausen, Mittelschmalkalden, Niederschmalkalden, Schmalkalden, Schmalkalden-Fachhs., Steinbach-Hallenberg, Viernau, Zella-
Mehlis West"
46,"Frankfurt(Main)Hbf, Frankfurt-Höchst","Frankfurt-Griesheim, Frankfurt-Nied"
47,"Freilassing, Salzburg Hbf","Salzburg Aiglhof, Salzburg-Liefering, Salzburg Mülln-Alt., Salzburg-Taxham Euro"
48,Straubing,"Bogen, Ittling, Sand(Niederbay), Straubing Hafen, Straubing-Ost"
49,"Freilassing, Mühldorf(Oberbay), Traunstein","Altenmarkt(Alz), Altötting, Burghausen, Burgkirchen, Fridolfing, Garching(Alz), Gendorf, Heiligenstatt(Obb), Hörpolding, Kastl(Oberbay), Kirchanschöring,
Kirchweidach, Laufen(Oberbay), Matzing, Pirach, Schalchen, Stein(Traun), Tacherting, Tittmoning-Wiesmühl, Traunreut, Traunstein Klinikum, Trostberg,
Tüßling, Wiesmühl(Alz)"
50,Marktredwitz,Bad Alexandersbad
51,"Frankfurt-Höchst, Limburg(Lahn), Mainz-
Bischofsheim, Mainz Hbf, Weilburg, Wiesbaden-
Biebrich, Wiesbaden Hbf","Arfurt(Lahn), Aumenau, Auringen-Medenbach, Bad Camberg, Eddersheim, Eppstein, Eppstein-Bremthal, Eschhofen, Ff-Höchst Farbwerke, Flörsheim(Main),
Frankfurt-Sindlingen, Frankfurt-Zeilsheim, Fürfurt, Gräveneck, Hattersheim(Main), Hochheim(Main), Hofheim(Taunus), Idstein(Taunus), Kerkerbach,
Kriftel, Lindenholzhausen, Lorsbach, Mainz-Kastel, Mainz Nord, Niederbrechen, Niederjosbach, Niedernhausen(Ts), Niederselters, Oberbrechen, Runkel,
Villmar, Wiesbaden-Erbenheim, Wiesbaden-Igstadt, Wiesbaden Ost, Wörsdorf"
52,Fürth(Bay)Hbf,"Alte Veste, Cadolzburg, Egersdorf, Fürth-Dambach, Fürth Westvorstadt, Weiherhof, Zirndorf, Zirndorf Kneippallee"
53,Kaufering,"Landsberg(L)Schule, Landsberg(Lech)"
54,"Bremen Hbf, Delmenhorst","Bremen Neustadt, Heidkrug"
55,"Freilassing, Traunstein","Lauter(Oberbay), Niederstraß, Rückstetten, Teisendorf"
56,"Brandenburg Hbf, Genthin","Kirchmöser, Wusterwitz"
