Von,IBNR,Nach,IBNR,Tarifkilometer,Bus,Außenherum,Ausschlussstrecke,Region
Aachen Hbf,1,Aachen-Rothe Erde,406,2,,N,,299
Aachen Hbf,1,Aachen Schanz,405,2,,N,,299
Aachen Hbf,1,Aachen West,404,3,,N,,299
Aachen Hbf,1,Alsdorf-Annapark,502,23,,N,,299
Aachen Hbf,1,Alsdorf-Busch,507,21,,N,,299
Aachen Hbf,1,Alsdorf-Kellersberg,521,22,,N,,299
Aachen Hbf,1,Alsdorf-Mariadorf,527,20,,N,,299
Aachen Hbf,1,Alsdorf-Poststraße,510,19,,N,,299
Aachen Hbf,1,Brachelen,1113,35,,N,,299
Aachen Hbf,1,Eilendorf,1712,5,,N,,299
Aachen Hbf,1,Erkelenz,1839,46,,N,,299
Aachen Hbf,1,Eschweiler Hbf,1886,13,,N,,299
Aachen Hbf,1,Eschweiler-Nothberg,1889,19,,N,,299
Aachen Hbf,1,Eschweiler-St.Jöris,1917,16,,N,,299
Aachen Hbf,1,Eschweiler-Talbahnh.,1888,17,,N,,299
Aachen Hbf,1,Eschweiler-Weisweil.,1893,20,,N,,299
Aachen Hbf,1,Eschweiler-West,1887,14,,N,,299
Aachen Hbf,1,Geilenkirchen,2206,26,,N,,299
Aachen Hbf,1,Heinsberg,2721,45,,N,,299
Aachen Hbf,1,Heinsberg-Dremmen,1557,40,,N,,299
Aachen Hbf,1,Heinsberg-Horst,2719,37,,N,,299
Aachen Hbf,1,Heinsberg-Kreishaus,2725,44,,N,,299
Aachen Hbf,1,Heinsberg-Oberbruch,4519,42,,N,,299
Aachen Hbf,1,Heinsberg-Porselen,2720,39,,N,,299
Aachen Hbf,1,Heinsberg-Randerath,2718,36,,N,,299
Aachen Hbf,1,Herrath,2784,50,,N,,299
Aachen Hbf,1,Herzogenrath,2806,14,,N,,299
Aachen Hbf,1,Herzogenrath(Gr),2807,15,,N,,299
Aachen Hbf,1,Herzogenrath-A-Merk.,2804,17,,N,,299
Aachen Hbf,1,Herzogenrath-Aug-S-P,2816,18,,N,,299
Aachen Hbf,1,Hückelhoven-Baal,677,39,,N,,299
Aachen Hbf,1,Kohlscheid,3395,10,,N,,299
Aachen Hbf,1,Langerwehe,3553,21,,N,,299
Aachen Hbf,1,Lindern,3697,33,,N,,299
Aachen Hbf,1,Stolberg(Rheinl)Hbf,348,10,,N,,299
Aachen Hbf,1,Stolberg-Altstadt,5741,14,,N,,299
Aachen Hbf,1,Stolberg-MühlenerBf,5745,12,,N,,299
Aachen Hbf,1,Stolberg-Rathaus,5743,13,,N,,299
Aachen Hbf,1,Stolberg-Schneidmü,5744,11,,N,,299
Aachen Hbf,1,Übach-Palenberg,5935,21,,N,,299
Aachen Hbf,1,Wickrath,6391,55,,N,,299
Aachen Hbf,1,Würselen-Merzbrück,6579,15,,N,,299
Aachen-Rothe Erde,406,Alsdorf-Annapark,502,21,,N,,299
Aachen-Rothe Erde,406,Alsdorf-Busch,507,23,,N,,299
Aachen-Rothe Erde,406,Alsdorf-Kellersberg,521,20,,N,,299
Aachen-Rothe Erde,406,Alsdorf-Mariadorf,527,18,,N,,299
Aachen-Rothe Erde,406,Alsdorf-Poststraße,510,17,,N,,299
Aachen-Rothe Erde,406,Brachelen,1113,51,,A,,299
Aachen-Rothe Erde,406,Eilendorf,1712,3,,N,,299
Aachen-Rothe Erde,406,Erkelenz,1839,62,,A,,299
Aachen-Rothe Erde,406,Eschweiler Hbf,1886,11,,N,,299
Aachen-Rothe Erde,406,Eschweiler-Nothberg,1889,17,,N,,299
Aachen-Rothe Erde,406,Eschweiler-St.Jöris,1917,14,,N,,299
Aachen-Rothe Erde,406,Eschweiler-Talbahnh.,1888,15,,N,,299
Aachen-Rothe Erde,406,Eschweiler-Weisweil.,1893,18,,N,,299
Aachen-Rothe Erde,406,Eschweiler-West,1887,12,,N,,299
Aachen-Rothe Erde,406,Geilenkirchen,2206,42,,A,,299
Aachen-Rothe Erde,406,Heinsberg,2721,61,,A,,299
Aachen-Rothe Erde,406,Heinsberg-Dremmen,1557,56,,A,,299
Aachen-Rothe Erde,406,Heinsberg-Horst,2719,53,,A,,299
Aachen-Rothe Erde,406,Heinsberg-Kreishaus,2725,60,,A,,299
Aachen-Rothe Erde,406,Heinsberg-Oberbruch,4519,58,,A,,299
Aachen-Rothe Erde,406,Heinsberg-Porselen,2720,55,,A,,299
Aachen-Rothe Erde,406,Heinsberg-Randerath,2718,52,,A,,299
Aachen-Rothe Erde,406,Herrath,2784,66,,A,,299
Aachen-Rothe Erde,406,Herzogenrath,2806,30,,A,,299
Aachen-Rothe Erde,406,Herzogenrath(Gr),2807,31,,A,,299
Aachen-Rothe Erde,406,Herzogenrath-A-Merk.,2804,27,,A,,299
Aachen-Rothe Erde,406,Herzogenrath-Aug-S-P,2816,26,,A,,299
Aachen-Rothe Erde,406,Hückelhoven-Baal,677,55,,A,,299
Aachen-Rothe Erde,406,Kohlscheid,3395,34,,A,,299
Aachen-Rothe Erde,406,Langerwehe,3553,19,,N,,299
Aachen-Rothe Erde,406,Lindern,3697,49,,A,,299
Aachen-Rothe Erde,406,Stolberg-Altstadt,5741,12,,N,,299
Aachen-Rothe Erde,406,Stolberg-MühlenerBf,5745,10,,N,,299
Aachen-Rothe Erde,406,Stolberg-Rathaus,5743,11,,N,,299
Aachen-Rothe Erde,406,Stolberg-Schneidmü,5744,9,,N,,299
Aachen-Rothe Erde,406,Übach-Palenberg,5935,37,,A,,299
Aachen-Rothe Erde,406,Wickrath,6391,71,,A,,299
Aachen-Rothe Erde,406,Würselen-Merzbrück,6579,13,,N,,299
Aachen Schanz,405,Aachen-Rothe Erde,406,42,,A,,299
Aachen Schanz,405,Alsdorf-Annapark,502,21,,N,,299
Aachen Schanz,405,Alsdorf-Busch,507,19,,N,,299
Aachen Schanz,405,Alsdorf-Kellersberg,521,22,,N,,299
Aachen Schanz,405,Alsdorf-Mariadorf,527,24,,A,,299
Aachen Schanz,405,Alsdorf-Poststraße,510,25,,A,,299
Aachen Schanz,405,Brachelen,1113,33,,N,,299
Aachen Schanz,405,Eilendorf,1712,39,,A,,299
Aachen Schanz,405,Erkelenz,1839,44,,N,,299
Aachen Schanz,405,Eschweiler Hbf,1886,37,,A,,299
Aachen Schanz,405,Eschweiler-Nothberg,1889,43,,A,,299
Aachen Schanz,405,Eschweiler-St.Jöris,1917,28,,A,,299
Aachen Schanz,405,Eschweiler-Talbahnh.,1888,41,,A,,299
Aachen Schanz,405,Eschweiler-Weisweil.,1893,44,,A,,299
Aachen Schanz,405,Eschweiler-West,1887,38,,A,,299
Aachen Schanz,405,Geilenkirchen,2206,24,,N,,299
Aachen Schanz,405,Heinsberg,2721,43,,N,,299
Aachen Schanz,405,Heinsberg-Dremmen,1557,38,,N,,299
Aachen Schanz,405,Heinsberg-Horst,2719,35,,N,,299
