Tarifpunkt,IBNR,Bahnhofstatus,Verbund,Regionen,Gleichstellung zu beachten
Aachen Hbf,1,HAST,AVV,299,*
Aachen-Rothe Erde,406,NAST,AVV,299,*
Aachen Schanz,405,NAST,AVV,299,*
Aachen Süd(Gr),403,AST,AVV,,
Aachen West,404,NAST,AVV,299,*
Aalen Hbf,2,HAST,OAM,"2,402,115",*
Abenden,411,NAST,,65,
Abensberg,410,NAST,,314,
Achern,412,NAST,TGO,681,
Achern Stadt,408,NAST,TGO,681,
Achim,413,NAST,VBN,9,
Achkarren,425,NAST,RVF,29,
Achmer,414,NAST,,58,
Achterwehr,416,NAST,SHT,288,
Adelebsen,418,NAST,VSN,112,
Adelschlag,419,NAST,,314,
Adelsdorf(Mittelfr),420,NAST,VGN,57,
Adelsheim Nord,423,NAST,VRN,469,
Adelsheim Ost,424,NAST,VRN,278,
Adorf(Erzgeb),11002,NAST,VMS,33,
Adorf(Vogtl),10001,NAST,VVV,268,
Affaltrach,431,NAST,HNV,243,
Agathenburg,434,NAST,HVV,126,
Aglasterhausen,543,NAST,VRN,131,
Aha,436,NAST,RVF,21,
Ahaus,437,NAST,VGM,102,
Ahlen(Westf),441,NAST,VGM,242,
Ahlhorn,442,NAST,VBN,396,
Ahlten,443,NAST,GVH,111,
Ahnatal-Casselbreite,457,NAST,NVV,476,
Ahnatal-Heckersh.,2675,NAST,NVV,476,
Ahnatal-Weimar,6286,NAST,NVV,476,
Ahrain,444,NAST,,265,
Ahrbrück,1209,NAST,VRM,32,
Ahrensburg,446,NAST,HVV,14,*
Ahrensburg-Gartenh.,480,NAST,HVV,14,*
Ahrensfelde,11003,NAST,VBB,1034,*
Ahrensfelde Friedhof,11004,NAST,VBB,1034,
Ahrensfelde Nord,11005,NAST,VBB,1034,
Ahrweiler,448,NAST,VRM,32,*
Ahrweiler Markt,449,NAST,VRM,32,*
Aich(Niederbay),451,NAST,,93,
Aichach,452,NAST,AVV,310,
Aichstetten,454,NAST,BOD,430,
Aidenbach,455,NAST,VLP,473,
Ainring,459,NAST,,142,
Aistaig,460,NAST,VVR,204,
Aitrang,461,NAST,,59,
Albbruck,463,NAST,WTV,330,
Albersdorf,464,NAST,SHT,500,
Albersweiler(Pfalz),466,NAST,VRN,253,
Albig,468,NAST,RNN,156,
Albrechtshof,11008,NAST,VBB,1031,*
Albshausen,471,NAST,RMV,698,
Albsheim(Eis),470,NAST,VRN,11,
Albstadt-Ebingen,473,NAST,NAL,399,
Albstadt-EbingenWest,472,NAST,NAL,399,
Albstadt-Laufen Ort,474,NAST,NAL,399,
Albstadt-Lautlingen,475,NAST,NAL,399,
Aldekerk,477,NAST,VRR,141,
Aldingen(b Spaich),481,NAST,TUT,206,
Aletshausen,482,NAST,,413,
Alfeld(Leine),483,NAST,,116,
Alfhausen,486,NAST,,396,
Alfter-Impekoven,495,NAST,VRS,443,
Alfter-Witterschlick,6516,NAST,VRS,443,
Algermissen,488,NAST,,81,
Aligse,489,NAST,GVH,83,
Allendorf(Dillkr),492,NAST,,274,
Allensbach,496,NAST,VHB,485,
Allersberg(Rothsee),498,NAST,VGN,314,
Allmendingen,499,NAST,DIN,399,
Alpen,500,NAST,VRR,166,
Alpirsbach,501,NAST,VGF,206,
Alsdorf-Annapark,502,NAST,AVV,299,
Alsdorf-Busch,507,NAST,AVV,299,
Alsdorf-Kellersberg,521,NAST,AVV,299,
Alsdorf-Mariadorf,527,NAST,AVV,299,
Alsdorf-Poststraße,510,NAST,AVV,299,
Alsenz,505,NAST,VRN,437,
Alsfeld(Oberhess),350,NAST,RMV,344,
Alsheim,506,NAST,VRN,71,
Altbach,508,NAST,VVS,137,
Altdöbern,11016,NAST,VBB,448,
Altdorf(b Nürnberg),509,NAST,VGN,314,
Altdorf West,504,NAST,VGN,314,
Altefähr,11017,NAST,,1091,
Altena(Westf),513,NAST,VRL,164,
Altenahr,514,NAST,VRM,32,
Altenau(Bay),515,NAST,,125,
Altenbach,11018,NAST,MDV,1133,
Altenbamberg,517,NAST,RNN,437,
Altenbeken,4,HAST,HST,"112,340,420,38",
Altenberge,518,NAST,VGM,459,
Altenbruch,519,NAST,,34,
Altenburg,10003,AST,MDV,"1037,477",
Altendorf(b Nabburg),523,NAST,,418,
Altenerding,524,NAST,MVV,264,
Altenfeld(Rhön),525,NAST,RMV,16,
Altenglan,491,NAST,,194,
Altengörs,526,NAST,SHT,495,
Altengronau,528,NAST,RMV,343,
Altenhasungen,530,NAST,NVV,476,
Altenkirchen(Ww),351,NAST,VRM,257,
Altenmarkt(Alz),533,NAST,,49,
Altenschwand,536,NAST,VLC,407,
Altenseelbach,537,NAST,,274,
Altenstadt(Hess),538,NAST,RMV,336,
Altenstadt(Iller),539,NAST,DIN,409,
Altenstadt(Waldnaab),540,NAST,,153,
Altenstadt-Höchst,2886,NAST,RMV,336,
Altenstadt-Lindheim,3698,NAST,RMV,336,
Altensteig,541,NAST,VGC,266,
Altentreptow,11025,NAST,,1204,
Altenwalde,542,NAST,,34,
Altenwillershagen,11027,NAST,,8,
Altersbach,11028,NAST,,45,
Altes Lager,11968,NAST,VBB,1111,
Alte Veste,511,NAST,VGN,52,*
Altglashütten-Falk.,544,NAST,RVF,21,
Althegnenberg,545,NAST,AVV,310,
Altheim(Hess),546,NAST,RMV,254,
Althengstett,548,NAST,VGC,3,
Althof,11031,NAST,VVW,1212,
Alt Hüttendorf,11011,NAST,VBB,316,
Altingen(Württ),549,NAST,NAL,470,
Altmannstein,552,NAST,,12,
Altmittweida,11033,NAST,VMS,60,
Altmorschen,553,NAST,NVV,294,
Altomünster,556,NAST,MVV,264,
Altötting,555,NAST,,49,
Altranft,11034,NAST,VBB,1231,
Alt Rosenthal,11014,NAST,VBB,1034,
Altruppin,11035,NAST,VBB,1358,
Altshausen,559,NAST,BOD,485,
Altstädten(Allgäu),561,NAST,,412,
Alttann,562,NAST,BOD,430,
Alzenau(Unterfr),531,NAST,VAB,455,*
Alzenau Burg,535,NAST,VAB,455,*
Alzenau Nord,529,NAST,VAB,455,*
Alzey,7,AST,VRN,"11,156",
Alzey Süd,558,NAST,VRN,11,
Amalienhütte,565,NAST,,218,
Amberg,566,NAST,VGN,418,
Ammern,11029,NAST,,1088,
Amorbach,575,NAST,VAB,157,
Ampfing,576,NAST,,264,
Amsdorf,11038,NAST,,1042,
Amstetten(Württ),577,NAST,DIN,427,
Amtshainersdorf,11039,NAST,VVO,1096,
Andernach,331,NAST,VRM,222,
Angermund,579,NAST,VRR,690,*
Angermünde,10004,NAST,VBB,1122,
Angern-Rogätz,11042,NAST,MAR,1179,
Angersbach,580,NAST,RMV,165,
Angersdorf,11043,NAST,MDV,1042,*
Anklam,11044,NAST,,1003,
Annaberg-Buchholz M,11045,NAST,VMS,1361,*
Annaberg-Buchholz S,10005,NAST,VMS,1361,*
Annaberg-Buchh u Bf,11047,NAST,VMS,1361,*
Annaburg,11048,NAST,MDV,1160,
Annweiler am Trifels,582,NAST,VRN,253,*
Annweiler-Sarnstall,5257,NAST,VRN,253,*
Annweiler West,587,NAST,VRN,253,*
Anrath,584,NAST,VRR,694,
Ansbach,9,HAST,VGN,"101,6,10,109",
Antonsthal,11049,NAST,VMS,35,
Anwanden,588,NAST,VGN,10,
Anzefahr,589,NAST,RMV,284,
Anzenkirchen,590,NAST,VRI,93,
Apach(fr),591,NAST,,186,
Apen,593,NAST,,281,
Apensen,594,NAST,HVV,126,
Apolda,11051,NAST,VMT,398,
Appenweier,596,NAST,TGO,681,
Ardey,597,NAST,VRL,234,
Arensdorf(Köthen),11053,NAST,MDV,1027,
Arenshausen,11054,NAST,,1321,
Arfurt(Lahn),599,NAST,RMV,51,
Armsheim,602,NAST,RNN,156,
Arnbach,603,NAST,MVV,264,
Arnsberg(Westf),605,NAST,VRL,260,
Arnschwang,606,NAST,VLC,407,
Arnsdorf(Dresden),10006,AST,VVO,"1115,363",
Arnstadt Hbf,10007,NAST,VMT,484,*
Arnstadt Süd,11055,NAST,VMT,484,*
Arrach,610,NAST,VLC,407,
Arsbeck,611,NAST,,110,
Artern,12440,NAST,,1067,
Arzberg(Oberfr),613,NAST,VGN,139,
Aschaffenburg Hbf,10,HAST,VAB,"118,455,456,157",*
Aschaffenburg Hochs.,618,NAST,VAB,157,*
Aschaffenburg Süd,619,NAST,VAB,157,*
Aschau(Chiemgau),621,NAST,MVV,318,
Ascheberg(Holst),11,AST,SHT,"304,18",
Ascheberg(Westf),623,NAST,VGM,460,
Aschendorf,624,NAST,,334,
Aschersleben,10009,AST,MAR,"1019,1006",
Ashausen,627,NAST,HVV,43,*
Asperg,630,NAST,VVS,541,*
Asselheim,625,NAST,VRN,13,
Assenheim(Oberhess),632,NAST,RMV,400,
Aßlar,633,NAST,RMV,698,
